source,destination,time,distance,cost
"Daniel Romualdez Airport,Tacloban City,Leyte","NAIA,Pasay City,Metro Manila",3660,567000,4300
"Daniel Romualdez Airport,Tacloban City,Leyte","Mactan-Cebu International Airport,Lapu-Lapu City,Cebu",2700,154000,2500
