"","Cebu Doctors University Hospital,Cebu City,Cebu","Chong Hua Hospital,Cebu City,Cebu","Perpetual Succour Hospital,Cebu City,Cebu","Asian Hospital and Medical Center,Muntinlupa,Metro Manila","Cardinal Santos Medical Center,San Juan,Metro Manila","Centuria Medical Makati - Asian Breast Center,Makati,Metro Manila","Chinese General Hospital and Medical Center,Manila,Metro Manila","Jose R. Reyes Memorial Medical Center,Manila,Metro Manila","Lung Center of the Philippines,Quezon City,Metro Manila","Makati Medical Center,Makati,Metro Manila","Manila Doctors Hospital,Manila,Metro Manila","Manila Med,Manila,Metro Manila","Metropolitan Medical Center,Manila,Metro Manila","Philippine General Hospital,Manila,Metro Manila","Philippine Oncology Center Corporation - Marian,Quezon City,Metro Manila","Quirino Memorial Medical Center,Quezon City,Metro Manila","Rizal Medical Center,Pasig,Metro Manila","San Juan De Dios Hospital,Pasay,Metro Manila","St. Luke's Medical Center - Global City,Taguig,Metro Manila","St. Luke's Medical Center - Quezon City,Quezon City,Metro Manila","The Medical City,Pasig,Metro Manila","University of Perpetual Help Delta,Las Pinas,Metro Manila","University of Santo Tomas,Manila,Metro Manila","Urology Center of the Philippines Inc.,Quezon City,Metro Manila"
"Calbayog City,Samar",40971.0,40974.0,41250.0,55659.0,57595.0,57175.0,57726.0,57779.0,58084.0,56774.0,57641.0,57134.0,57924.0,57251.0,59170.0,58028.0,57145.0,56980.0,57073.0,57935.0,57482.0,57326.0,57611.0,58114.0
"Calbiga,Samar",31766.0,31769.0,32045.0,66517.0,68453.0,68033.0,68584.0,68637.0,68942.0,67632.0,68499.0,67992.0,68782.0,68109.0,70028.0,68886.0,68003.0,67838.0,67931.0,68793.0,68340.0,68184.0,68469.0,68972.0
"Calubian,Leyte",24743.0,24746.0,25022.0,79411.0,81347.0,80927.0,81478.0,81531.0,81836.0,80526.0,81393.0,80886.0,81676.0,81003.0,82922.0,81780.0,80897.0,80732.0,80825.0,81687.0,81234.0,81078.0,81363.0,81866.0
"Can-Avid,Eastern Samar",41235.0,41242.0,41518.0,71913.0,73849.0,73429.0,73980.0,74033.0,74338.0,73028.0,73895.0,73388.0,74178.0,73505.0,75424.0,74282.0,73399.0,73234.0,73327.0,74189.0,73736.0,73580.0,73865.0,74368.0
"Capoocan,Leyte",20844.0,20847.0,21123.0,77422.0,79358.0,78938.0,79489.0,79542.0,79847.0,78537.0,79404.0,78897.0,79687.0,79014.0,80933.0,79791.0,78908.0,78743.0,78836.0,79698.0,79245.0,79089.0,79374.0,79877.0
"Carigara,Leyte",22184.0,22187.0,22463.0,74255.0,76191.0,75771.0,76322.0,76375.0,76680.0,75370.0,76237.0,75730.0,76520.0,75847.0,77766.0,76624.0,75741.0,75576.0,75669.0,76531.0,76078.0,75922.0,76207.0,76710.0
"Catarman,Northern Samar",46454.0,46457.0,46733.0,54044.0,55980.0,55560.0,56111.0,56164.0,56469.0,55159.0,56026.0,55519.0,56309.0,55636.0,57555.0,56413.0,55530.0,55365.0,55458.0,56320.0,55867.0,55711.0,55996.0,56499.0
"Catubig,Northern Samar",51604.0,51607.0,51883.0,57830.0,59766.0,59346.0,59897.0,59950.0,60255.0,58945.0,59812.0,59305.0,60095.0,59422.0,61341.0,60199.0,59316.0,59151.0,59244.0,60106.0,59653.0,59497.0,59782.0,60285.0
"City of Baybay,Leyte",22634.0,22637.0,22913.0,78064.0,79998.0,79578.0,80131.0,80184.0,80489.0,79177.0,80046.0,79539.0,80327.0,79654.0,81575.0,80433.0,79550.0,79383.0,79478.0,80338.0,79885.0,79729.0,80014.0,80517.0
"City of Borongan,Eastern Samar",38902.0,38905.0,39181.0,71469.0,73405.0,72985.0,73536.0,73591.0,73894.0,72584.0,73453.0,72944.0,73736.0,73061.0,74980.0,73840.0,72955.0,72790.0,72885.0,73745.0,73292.0,73138.0,73421.0,73926.0
"City of Catbalogan,Samar",36132.0,36135.0,36411.0,60053.0,61989.0,61569.0,62120.0,62173.0,62478.0,61168.0,62035.0,61528.0,62318.0,61645.0,63564.0,62422.0,61539.0,61374.0,61467.0,62329.0,61876.0,61720.0,62005.0,62508.0
"City of Maasin,Southern Leyte",28703.0,28706.0,28982.0,84871.0,86807.0,86387.0,86938.0,86991.0,87296.0,85986.0,86853.0,86346.0,87136.0,86463.0,88382.0,87240.0,86357.0,86192.0,86285.0,87147.0,86694.0,86538.0,86823.0,87326.0
"Culaba,Biliran",27512.0,27515.0,27791.0,82180.0,84115.0,83696.0,84246.0,84300.0,84604.0,83295.0,84161.0,83654.0,84445.0,83772.0,85690.0,84549.0,83665.0,83501.0,83594.0,84455.0,84002.0,83846.0,84131.0,84635.0
"Dagami,Leyte",25295.0,25298.0,25574.0,73981.0,75917.0,75497.0,76048.0,76101.0,76406.0,75096.0,75963.0,75456.0,76246.0,75573.0,77492.0,76350.0,75467.0,75302.0,75395.0,76257.0,75804.0,75648.0,75933.0,76436.0
"Dolores,Eastern Samar",41894.0,41897.0,42173.0,72572.0,74508.0,74086.0,74637.0,74692.0,74997.0,73687.0,74554.0,74045.0,74837.0,74162.0,76083.0,74941.0,74056.0,73893.0,73984.0,74848.0,74393.0,74239.0,74524.0,75027.0
"Dulag,Leyte",27181.0,27184.0,27460.0,73998.0,75932.0,75514.0,76063.0,76116.0,76421.0,75111.0,75978.0,75471.0,76261.0,75590.0,77507.0,76365.0,75482.0,75317.0,75410.0,76272.0,75819.0,75665.0,75950.0,76453.0
"Gamay,Northern Samar",45843.0,45846.0,46122.0,62154.0,64090.0,63670.0,64221.0,64274.0,64579.0,63269.0,64136.0,63629.0,64419.0,63746.0,65665.0,64523.0,63640.0,63475.0,63568.0,64430.0,63977.0,63821.0,64106.0,64609.0
"Gandara,Samar",39623.0,39626.0,39902.0,58795.0,60731.0,60311.0,60862.0,60915.0,61220.0,59910.0,60777.0,60270.0,61060.0,60387.0,62306.0,61164.0,60281.0,60116.0,60209.0,61071.0,60618.0,60462.0,60747.0,61250.0
"General MacArthur,Eastern Samar",34238.0,34241.0,34517.0,76160.0,78096.0,77676.0,78227.0,78280.0,78585.0,77275.0,78142.0,77635.0,78425.0,77752.0,79671.0,78529.0,77646.0,77481.0,77574.0,78436.0,77983.0,77827.0,78112.0,78615.0
"Giporlos,Eastern Samar",32740.0,32743.0,33019.0,75575.0,77511.0,77091.0,77642.0,77695.0,78000.0,76690.0,77555.0,77050.0,77838.0,77167.0,79084.0,77942.0,77059.0,76894.0,76987.0,77851.0,77398.0,77242.0,77525.0,78028.0
