"","Cebu Doctors University Hospital,Cebu City,Cebu","Chong Hua Hospital,Cebu City,Cebu","Perpetual Succour Hospital,Cebu City,Cebu","Asian Hospital and Medical Center,Muntinlupa,Metro Manila","Cardinal Santos Medical Center,San Juan,Metro Manila","Centuria Medical Makati - Asian Breast Center,Makati,Metro Manila","Chinese General Hospital and Medical Center,Manila,Metro Manila","Jose R. Reyes Memorial Medical Center,Manila,Metro Manila","Lung Center of the Philippines,Quezon City,Metro Manila","Makati Medical Center,Makati,Metro Manila","Manila Doctors Hospital,Manila,Metro Manila","Manila Med,Manila,Metro Manila","Metropolitan Medical Center,Manila,Metro Manila","Philippine General Hospital,Manila,Metro Manila","Philippine Oncology Center Corporation - Marian,Quezon City,Metro Manila","Quirino Memorial Medical Center,Quezon City,Metro Manila","Rizal Medical Center,Pasig,Metro Manila","San Juan De Dios Hospital,Pasay,Metro Manila","St. Luke's Medical Center - Global City,Taguig,Metro Manila","St. Luke's Medical Center - Quezon City,Quezon City,Metro Manila","The Medical City,Pasig,Metro Manila","University of Perpetual Help Delta,Las Pinas,Metro Manila","University of Santo Tomas,Manila,Metro Manila","Urology Center of the Philippines Inc.,Quezon City,Metro Manila"
"Balangkayan,Eastern Samar",365778.0,366063.0,367093.0,890160.0,913510.0,909106.0,915069.0,914507.0,922161.0,906913.0,914455.0,911106.0,915004.0,910780.0,932528.0,918225.0,909691.0,906942.0,908622.0,919798.0,911490.0,898331.0,913841.0,922816.0
"Barugo,Leyte",173369.0,173654.0,174684.0,866584.0,889934.0,885530.0,891493.0,890931.0,898585.0,883337.0,890879.0,887530.0,891428.0,887204.0,908952.0,894649.0,886115.0,883366.0,885046.0,896222.0,887914.0,874755.0,890265.0,899240.0
"Basey,Samar",248293.0,248578.0,249608.0,839845.0,863195.0,858791.0,864754.0,864192.0,871846.0,856598.0,864140.0,860791.0,864689.0,860465.0,882213.0,867910.0,859376.0,856627.0,858307.0,869483.0,861175.0,848016.0,863526.0,872501.0
"Bato,Leyte",216391.0,216676.0,217706.0,969634.0,992984.0,988580.0,994543.0,993981.0,1001635.0,986387.0,993929.0,990580.0,994478.0,990254.0,1012002.0,997699.0,989165.0,986416.0,988096.0,999272.0,990964.0,977805.0,993315.0,1002290.0
"Bobon,Northern Samar",479453.0,479738.0,480768.0,631004.0,654354.0,649950.0,655913.0,655351.0,663005.0,647757.0,655299.0,651950.0,655848.0,651624.0,673372.0,659069.0,650535.0,647786.0,649466.0,660642.0,652334.0,639175.0,654685.0,663660.0
"Bontoc,Southern Leyte",231216.0,231501.0,232531.0,957351.0,980681.0,976277.0,982260.0,981698.0,989332.0,974084.0,981626.0,978277.0,982195.0,977971.0,999699.0,985396.0,976882.0,974113.0,975793.0,986989.0,978661.0,965502.0,981012.0,989987.0
"Burauen,Leyte",214962.0,215247.0,216277.0,863822.0,887172.0,882748.0,888711.0,888149.0,895823.0,880575.0,888117.0,884748.0,888666.0,884442.0,906170.0,891867.0,883353.0,880604.0,882264.0,893460.0,885132.0,871973.0,887483.0,896458.0
"Cabucgayan,Biliran",195292.0,195577.0,196607.0,938112.0,961462.0,957058.0,963021.0,962459.0,970113.0,954865.0,962407.0,959058.0,962956.0,958732.0,980480.0,966177.0,957643.0,954894.0,956574.0,967750.0,959442.0,946283.0,961793.0,970768.0
"Caibiran,Biliran",208913.0,209198.0,210228.0,951733.0,975083.0,970679.0,976642.0,976080.0,983734.0,968486.0,976028.0,972679.0,976577.0,972353.0,994101.0,979798.0,971264.0,968515.0,970195.0,981371.0,973063.0,959904.0,975414.0,984389.0
"Calbayog City,Samar",377558.0,377843.0,378873.0,653227.0,676577.0,672173.0,678136.0,677574.0,685228.0,669980.0,677522.0,674173.0,678071.0,673847.0,695595.0,681292.0,672758.0,670009.0,671689.0,682865.0,674557.0,661398.0,676908.0,685883.0
