"","Cebu Doctors University Hospital,Cebu City,Cebu","Chong Hua Hospital,Cebu City,Cebu","Perpetual Succour Hospital,Cebu City,Cebu","Asian Hospital and Medical Center,Muntinlupa,Metro Manila","Cardinal Santos Medical Center,San Juan,Metro Manila","Centuria Medical Makati - Asian Breast Center,Makati,Metro Manila","Chinese General Hospital and Medical Center,Manila,Metro Manila","Jose R. Reyes Memorial Medical Center,Manila,Metro Manila","Lung Center of the Philippines,Quezon City,Metro Manila","Makati Medical Center,Makati,Metro Manila","Manila Doctors Hospital,Manila,Metro Manila","Manila Med,Manila,Metro Manila","Metropolitan Medical Center,Manila,Metro Manila","Philippine General Hospital,Manila,Metro Manila","Philippine Oncology Center Corporation - Marian,Quezon City,Metro Manila","Quirino Memorial Medical Center,Quezon City,Metro Manila","Rizal Medical Center,Pasig,Metro Manila","San Juan De Dios Hospital,Pasay,Metro Manila","St. Luke's Medical Center - Global City,Taguig,Metro Manila","St. Luke's Medical Center - Quezon City,Quezon City,Metro Manila","The Medical City,Pasig,Metro Manila","University of Perpetual Help Delta,Las Pinas,Metro Manila","University of Santo Tomas,Manila,Metro Manila","Urology Center of the Philippines Inc.,Quezon City,Metro Manila"
"Calbayog City,Samar",21643.0,21542.0,21380.0,22118.0,22355.0,21935.0,22546.0,22357.0,22844.0,21534.0,22140.0,21811.0,22430.0,21853.0,23930.0,22831.0,22152.0,21209.0,21833.0,22695.0,22489.0,21667.0,22435.0,22874.0
"Calbiga,Samar",12441.0,12340.0,12178.0,12916.0,13153.0,12733.0,13344.0,13155.0,13642.0,12332.0,12938.0,12609.0,13228.0,12651.0,14728.0,13629.0,12950.0,12007.0,12631.0,13493.0,13287.0,12465.0,13233.0,13672.0
"Calubian,Leyte",14168.0,14067.0,13905.0,14643.0,14880.0,14460.0,15071.0,14882.0,15369.0,14059.0,14665.0,14336.0,14955.0,14378.0,16455.0,15356.0,14677.0,13734.0,14358.0,15220.0,15014.0,14192.0,14960.0,15399.0
"Can-Avid,Eastern Samar",21909.0,21812.0,21646.0,22388.0,22625.0,22205.0,22816.0,22627.0,23114.0,21804.0,22410.0,22081.0,22696.0,22119.0,24196.0,23097.0,22418.0,21479.0,22099.0,22961.0,22759.0,21937.0,22701.0,23144.0
"Capoocan,Leyte",12179.0,12078.0,11916.0,12654.0,12891.0,12471.0,13082.0,12893.0,13380.0,12070.0,12676.0,12347.0,12966.0,12389.0,14466.0,13367.0,12688.0,11745.0,12369.0,13231.0,13025.0,12203.0,12971.0,13410.0
"Carigara,Leyte",9012.0,8911.0,8749.0,9487.0,9724.0,9304.0,9915.0,9726.0,10213.0,8903.0,9509.0,9180.0,9799.0,9222.0,11299.0,10200.0,9521.0,8578.0,9202.0,10064.0,9858.0,9036.0,9804.0,10243.0
"Catarman,Northern Samar",27128.0,27027.0,26865.0,27603.0,27840.0,27420.0,28031.0,27842.0,28329.0,27019.0,27625.0,27296.0,27915.0,27338.0,29415.0,28316.0,27637.0,26694.0,27318.0,28180.0,27974.0,27152.0,27920.0,28359.0
"Catubig,Northern Samar",32278.0,32177.0,32015.0,32753.0,32990.0,32570.0,33181.0,32992.0,33479.0,32169.0,32775.0,32446.0,33065.0,32488.0,34565.0,33466.0,32787.0,31844.0,32468.0,33330.0,33124.0,32302.0,33070.0,33509.0
"City of Baybay,Leyte",11897.0,11796.0,11634.0,12372.0,12609.0,12189.0,12800.0,12611.0,13098.0,11788.0,12394.0,12065.0,12684.0,12107.0,14184.0,13085.0,12406.0,11463.0,12087.0,12949.0,12743.0,11921.0,12689.0,13128.0
"City of Borongan,Eastern Samar",19577.0,19476.0,19314.0,20052.0,20289.0,19869.0,20480.0,20291.0,20778.0,19468.0,20074.0,19745.0,20364.0,19787.0,21864.0,20765.0,20086.0,19143.0,19767.0,20629.0,20423.0,19601.0,20369.0,20808.0
"City of Catbalogan,Samar",16806.0,16703.0,16541.0,17279.0,17516.0,17098.0,17707.0,17518.0,18005.0,16697.0,17301.0,16972.0,17593.0,17014.0,19091.0,17992.0,17313.0,16370.0,16994.0,17858.0,17650.0,16828.0,17596.0,18035.0
"City of Maasin,Southern Leyte",18704.0,18603.0,18441.0,19179.0,19416.0,18996.0,19607.0,19418.0,19905.0,18595.0,19201.0,18872.0,19491.0,18914.0,20991.0,19892.0,19213.0,18270.0,18894.0,19756.0,19550.0,18728.0,19496.0,19935.0
"Culaba,Biliran",16937.0,16836.0,16674.0,17412.0,17649.0,17229.0,17840.0,17651.0,18138.0,16828.0,17434.0,17105.0,17724.0,17147.0,19224.0,18125.0,17446.0,16503.0,17127.0,17989.0,17783.0,16961.0,17729.0,18168.0
"Dagami,Leyte",8221.0,8120.0,7958.0,8696.0,8933.0,8513.0,9124.0,8935.0,9422.0,8112.0,8718.0,8389.0,9008.0,8431.0,10508.0,9409.0,8730.0,7787.0,8411.0,9273.0,9067.0,8245.0,9013.0,9452.0
