"","Cebu Doctors University Hospital,Cebu City,Cebu","Chong Hua Hospital,Cebu City,Cebu","Perpetual Succour Hospital,Cebu City,Cebu","Asian Hospital and Medical Center,Muntinlupa,Metro Manila","Cardinal Santos Medical Center,San Juan,Metro Manila","Centuria Medical Makati - Asian Breast Center,Makati,Metro Manila","Chinese General Hospital and Medical Center,Manila,Metro Manila","Jose R. Reyes Memorial Medical Center,Manila,Metro Manila","Lung Center of the Philippines,Quezon City,Metro Manila","Makati Medical Center,Makati,Metro Manila","Manila Doctors Hospital,Manila,Metro Manila","Manila Med,Manila,Metro Manila","Metropolitan Medical Center,Manila,Metro Manila","Philippine General Hospital,Manila,Metro Manila","Philippine Oncology Center Corporation - Marian,Quezon City,Metro Manila","Quirino Memorial Medical Center,Quezon City,Metro Manila","Rizal Medical Center,Pasig,Metro Manila","San Juan De Dios Hospital,Pasay,Metro Manila","St. Luke's Medical Center - Global City,Taguig,Metro Manila","St. Luke's Medical Center - Quezon City,Quezon City,Metro Manila","The Medical City,Pasig,Metro Manila","University of Perpetual Help Delta,Las Pinas,Metro Manila","University of Santo Tomas,Manila,Metro Manila","Urology Center of the Philippines Inc.,Quezon City,Metro Manila"
"Calbayog City,Samar",350706.0,350245.0,349602.0,769863.0,766988.0,762584.0,764339.0,762718.0,775639.0,760391.0,761605.0,759177.0,762851.0,758652.0,786006.0,770064.0,765158.0,755029.0,762100.0,773276.0,766957.0,762050.0,763504.0,776294.0
"Calbiga,Samar",241761.0,241300.0,240657.0,660918.0,658043.0,653639.0,655394.0,653773.0,666694.0,651446.0,652660.0,650232.0,653906.0,649707.0,677061.0,661119.0,656213.0,646084.0,653155.0,664331.0,658012.0,653105.0,654559.0,667349.0
"Calubian,Leyte",279577.0,279116.0,278473.0,698734.0,695859.0,691455.0,693210.0,691589.0,704510.0,689262.0,690476.0,688048.0,691722.0,687523.0,714877.0,698935.0,694029.0,683900.0,690971.0,702147.0,695828.0,690921.0,692375.0,705165.0
"Can-Avid,Eastern Samar",347044.0,346601.0,345940.0,766219.0,763344.0,758940.0,760695.0,759074.0,771995.0,756747.0,757961.0,755533.0,759189.0,754990.0,782344.0,766402.0,761496.0,751385.0,758438.0,769614.0,763313.0,758406.0,759842.0,772650.0
"Capoocan,Leyte",257310.0,256849.0,256206.0,676467.0,673592.0,669188.0,670943.0,669322.0,682243.0,666995.0,668209.0,665781.0,669455.0,665256.0,692610.0,676668.0,671762.0,661633.0,668704.0,679880.0,673561.0,668654.0,670108.0,682898.0
"Carigara,Leyte",221185.0,220724.0,220081.0,640342.0,637467.0,633063.0,634818.0,633197.0,646118.0,630870.0,632084.0,629656.0,633330.0,629131.0,656485.0,640543.0,635637.0,625508.0,632579.0,643755.0,637436.0,632529.0,633983.0,646773.0
"Catarman,Northern Samar",416953.0,416492.0,415849.0,836110.0,833235.0,828831.0,830586.0,828965.0,841886.0,826638.0,827852.0,825424.0,829098.0,824899.0,852253.0,836311.0,831405.0,821276.0,828347.0,839523.0,833204.0,828297.0,829751.0,842541.0
"Catubig,Northern Samar",489835.0,489374.0,488731.0,908992.0,906117.0,901713.0,903468.0,901847.0,914768.0,899520.0,900734.0,898306.0,901980.0,897781.0,925135.0,909193.0,904287.0,894158.0,901229.0,912405.0,906086.0,901179.0,902633.0,915423.0
"City of Baybay,Leyte",263706.0,263245.0,262602.0,682863.0,679988.0,675584.0,677339.0,675718.0,688639.0,673391.0,674605.0,672177.0,675851.0,671652.0,699006.0,683064.0,678158.0,668029.0,675100.0,686276.0,679957.0,675050.0,676504.0,689294.0
"City of Borongan,Eastern Samar",368998.0,368537.0,367894.0,788155.0,785280.0,780876.0,782631.0,781010.0,793931.0,778683.0,779897.0,777469.0,781143.0,776944.0,804298.0,788356.0,783450.0,773321.0,780392.0,791568.0,785249.0,780342.0,781796.0,794586.0
"City of Catbalogan,Samar",291079.0,290598.0,289955.0,710216.0,707341.0,702957.0,704692.0,703071.0,715992.0,700764.0,701958.0,699530.0,703224.0,699005.0,726359.0,710417.0,705511.0,695382.0,702453.0,713649.0,707310.0,702403.0,703857.0,716647.0
"City of Maasin,Southern Leyte",349071.0,348610.0,347967.0,768228.0,765353.0,760949.0,762704.0,761083.0,774004.0,758756.0,759970.0,757542.0,761216.0,757017.0,784371.0,768429.0,763523.0,753394.0,760465.0,771641.0,765322.0,760415.0,761869.0,774659.0
"Culaba,Biliran",319988.0,319527.0,318884.0,739145.0,736270.0,731866.0,733621.0,732000.0,744921.0,729673.0,730887.0,728459.0,732133.0,727934.0,755288.0,739346.0,734440.0,724311.0,731382.0,742558.0,736239.0,731332.0,732786.0,745576.0
"Dagami,Leyte",205659.0,205198.0,204555.0,624816.0,621941.0,617537.0,619292.0,617671.0,630592.0,615344.0,616558.0,614130.0,617804.0,613605.0,640959.0,625017.0,620111.0,609982.0,617053.0,628229.0,621910.0,617003.0,618457.0,631247.0
"Dolores,Eastern Samar",363976.0,363515.0,362872.0,783133.0,780258.0,775854.0,777609.0,775988.0,788909.0,773661.0,774875.0,772447.0,776121.0,771922.0,799276.0,783334.0,778428.0,768299.0,775370.0,786546.0,780227.0,775320.0,776774.0,789564.0
"Dulag,Leyte",204775.0,204314.0,203671.0,623932.0,621057.0,616653.0,618408.0,616787.0,629708.0,614460.0,615674.0,613246.0,616920.0,612721.0,640075.0,624133.0,619227.0,609098.0,616169.0,627345.0,621026.0,616119.0,617573.0,630363.0
"Gamay,Northern Samar",426779.0,426318.0,425675.0,845936.0,843061.0,838657.0,840412.0,838791.0,851712.0,836464.0,837678.0,835250.0,838924.0,834725.0,862079.0,846137.0,841231.0,831102.0,838173.0,849349.0,843030.0,838123.0,839577.0,852367.0
"Gandara,Samar",331710.0,331249.0,330606.0,750867.0,747992.0,743588.0,745343.0,743722.0,756643.0,741395.0,742609.0,740181.0,743855.0,739656.0,767010.0,751068.0,746162.0,736033.0,743104.0,754280.0,747961.0,743054.0,744508.0,757298.0
"General MacArthur,Eastern Samar",299506.0,299045.0,298402.0,718663.0,715788.0,711384.0,713139.0,711518.0,724439.0,709191.0,710405.0,707977.0,711651.0,707452.0,734806.0,718864.0,713958.0,703829.0,710900.0,722076.0,715757.0,710850.0,712304.0,725094.0
"Giporlos,Eastern Samar",279044.0,278583.0,277940.0,698201.0,695326.0,690922.0,692677.0,691056.0,703977.0,688729.0,689943.0,687515.0,691189.0,686990.0,714344.0,698402.0,693496.0,683367.0,690438.0,701614.0,695295.0,690388.0,691842.0,704632.0
"Guiuan,Eastern Samar",325711.0,325250.0,324607.0,744868.0,741993.0,737589.0,739344.0,737723.0,750644.0,735396.0,736610.0,734182.0,737856.0,733657.0,761011.0,745069.0,740163.0,730034.0,737105.0,748281.0,741962.0,737055.0,738509.0,751299.0
"Hernani,Eastern Samar",313626.0,313165.0,312522.0,732783.0,729908.0,725504.0,727259.0,725638.0,738559.0,723311.0,724525.0,722097.0,725771.0,721572.0,748926.0,732984.0,728078.0,717949.0,725020.0,736196.0,729877.0,724970.0,726424.0,739214.0
"Hilongos,Leyte",308194.0,307733.0,307090.0,727351.0,724476.0,720072.0,721827.0,720206.0,733127.0,717879.0,719093.0,716665.0,720339.0,716140.0,743494.0,727552.0,722646.0,712517.0,719588.0,730764.0,724445.0,719538.0,720992.0,733782.0
"Hinabangan,Samar",290367.0,289906.0,289263.0,709524.0,706649.0,702245.0,704000.0,702379.0,715300.0,700052.0,701266.0,698838.0,702512.0,698313.0,725667.0,709725.0,704819.0,694690.0,701761.0,712937.0,706618.0,701711.0,703165.0,715955.0
"Hindang,Leyte",302454.0,301993.0,301350.0,721611.0,718736.0,714332.0,716087.0,714466.0,727387.0,712139.0,713353.0,710925.0,714599.0,710400.0,737754.0,721812.0,716906.0,706777.0,713848.0,725024.0,718705.0,713798.0,715252.0,728042.0
"Hinunangan,Southern Leyte",297521.0,297060.0,296417.0,716678.0,713803.0,709399.0,711154.0,709533.0,722454.0,707206.0,708420.0,705992.0,709666.0,705467.0,732821.0,716879.0,711973.0,701844.0,708915.0,720091.0,713772.0,708865.0,710319.0,723109.0
"Hinundayan,Southern Leyte",297257.0,296796.0,296153.0,716414.0,713539.0,709135.0,710890.0,709269.0,722190.0,706942.0,708156.0,705728.0,709402.0,705203.0,732557.0,716615.0,711709.0,701580.0,708651.0,719827.0,713508.0,708601.0,710055.0,722845.0
"Inopacan,Leyte",291943.0,291482.0,290839.0,711100.0,708225.0,703821.0,705576.0,703955.0,716876.0,701628.0,702842.0,700414.0,704088.0,699889.0,727243.0,711301.0,706395.0,696266.0,703337.0,714513.0,708194.0,703287.0,704741.0,717531.0
"Isabel,Leyte",313413.0,312952.0,312309.0,732570.0,729695.0,725291.0,727046.0,725425.0,738346.0,723098.0,724312.0,721884.0,725558.0,721359.0,748713.0,732771.0,727865.0,717736.0,724807.0,735983.0,729664.0,724757.0,726211.0,739001.0
"Jaro,Leyte",208004.0,207543.0,206900.0,627161.0,624286.0,619882.0,621637.0,620016.0,632937.0,617689.0,618903.0,616475.0,620149.0,615950.0,643304.0,627362.0,622456.0,612327.0,619398.0,630574.0,624255.0,619348.0,620802.0,633592.0
"Javier,Leyte",230290.0,229829.0,229186.0,649447.0,646572.0,642168.0,643923.0,642302.0,655223.0,639975.0,641189.0,638761.0,642435.0,638236.0,665590.0,649648.0,644742.0,634613.0,641684.0,652860.0,646541.0,641634.0,643088.0,655878.0
"Jiabong,Samar",273879.0,273418.0,272775.0,693036.0,690161.0,685757.0,687512.0,685891.0,698812.0,683564.0,684778.0,682350.0,686024.0,681825.0,709179.0,693237.0,688331.0,678202.0,685273.0,696449.0,690130.0,685223.0,686677.0,699467.0
"Julita,Leyte",204675.0,204214.0,203571.0,623832.0,620957.0,616553.0,618308.0,616687.0,629608.0,614360.0,615574.0,613146.0,616820.0,612621.0,639975.0,624033.0,619127.0,608998.0,616069.0,627245.0,620926.0,616019.0,617473.0,630263.0
"Kananga,Leyte",254382.0,253921.0,253278.0,673539.0,670664.0,666260.0,668015.0,666394.0,679315.0,664067.0,665281.0,662853.0,666527.0,662328.0,689682.0,673740.0,668834.0,658705.0,665776.0,676952.0,670633.0,665726.0,667180.0,679970.0
"Kawayan,Biliran",305112.0,304651.0,304008.0,724269.0,721394.0,716990.0,718745.0,717124.0,730045.0,714797.0,716011.0,713583.0,717257.0,713058.0,740412.0,724470.0,719564.0,709435.0,716506.0,727682.0,721363.0,716456.0,717910.0,730700.0
"La Paz,Leyte",217754.0,217293.0,216650.0,636911.0,634036.0,629632.0,631387.0,629766.0,642687.0,627439.0,628653.0,626225.0,629899.0,625700.0,653054.0,637112.0,632206.0,622077.0,629148.0,640324.0,634005.0,629098.0,630552.0,643342.0
"Laoang,Northern Samar",484864.0,484403.0,483760.0,904021.0,901146.0,896742.0,898497.0,896876.0,909797.0,894549.0,895763.0,893335.0,897009.0,892810.0,920164.0,904222.0,899316.0,889187.0,896258.0,907434.0,901115.0,896208.0,897662.0,910452.0
"Lapinig,Northern Samar",414682.0,414221.0,413578.0,833839.0,830964.0,826560.0,828315.0,826694.0,839615.0,824367.0,825581.0,823153.0,826827.0,822628.0,849982.0,834040.0,829134.0,819005.0,826076.0,837252.0,830933.0,826026.0,827480.0,840270.0
"Las Navas,Northern Samar",509777.0,509316.0,508673.0,928934.0,926059.0,921655.0,923410.0,921789.0,934710.0,919462.0,920676.0,918248.0,921922.0,917723.0,945077.0,929135.0,924229.0,914100.0,921171.0,932347.0,926028.0,921121.0,922575.0,935365.0
"Lavezares,Northern Samar",440748.0,440287.0,439644.0,859905.0,857030.0,852646.0,854381.0,852780.0,865681.0,850433.0,851647.0,849219.0,852893.0,848694.0,876048.0,860106.0,855200.0,845071.0,852162.0,863318.0,856999.0,852092.0,853566.0,866336.0
"Lawaan,Eastern Samar",252956.0,252495.0,251852.0,672113.0,669238.0,664834.0,666589.0,664968.0,677889.0,662641.0,663855.0,661427.0,665101.0,660902.0,688256.0,672314.0,667408.0,657279.0,664350.0,675526.0,669207.0,664300.0,665754.0,678544.0
